"sample","B cell","Macrophage M1","Macrophage M2","Monocyte","Neutrophil","NK cell","T cell CD4+ (non-regulatory)","T cell CD8+","T cell regulatory (Tregs)","Myeloid dendritic cell","uncharacterized cell"
"TCGA-QH-A6CZ-01A-11R-A32Q-07",0.0578954109480851,0,0,0.154718165900523,0,0.174662826980118,0,0,0,0.114869417111684,0.497854179059589
"TCGA-QH-A6X5-01A-12R-A32Q-07",0.0295684962263386,0,0,0.0993005683268013,0,0.177490565367328,0,0,0,0.189515089539156,0.504125280540377
"TCGA-QH-A6X8-01A-12R-A32Q-07",0.0567593187740495,0,0,0.15128357368998,0,0.127629940135636,0,0,0.0239276329707572,0.0980377453110056,0.542361789118572
"TCGA-QH-A86X-01A-11R-A36H-07",0.0482706702958092,0,0,0.0769150647419571,0,0.176905180332451,0,0,0.00537194657350214,0.187421429074619,0.505115708981662
"TCGA-R8-A6MK-01A-11R-A32Q-07",0.029561405601047,0,0.0109876132022798,0.0267237037494019,0,0.160333734437348,0,0,0,0.189788859620201,0.582604683389722
"TCGA-R8-A6ML-01A-11R-A32Q-07",0.0313742452019527,0,0,0.00409361567636802,0,0.190741703628137,0,0,0,0.19884466736682,0.574945768126722
"TCGA-R8-A6MO-01A-11R-A33Z-07",0.0421934139896512,0,0,0.150309236137383,0,0.133203009603687,0,0,0.00347926967219458,0.099200074159109,0.571614996437976
"TCGA-RY-A83X-01A-11R-A36H-07",0.0289555777797689,0,0,0.0685725123942491,0,0.193778742436721,0,0,0,0.22733157637576,0.481361591013501
"TCGA-RY-A847-01A-11R-A36H-07",0.0513421866710532,0,0,0.17322755555649,0,0.187544648249492,0,0,0,0.130110754616126,0.457774854906839
"TCGA-S9-A6TW-01A-12R-A32Q-07",0.0347188104264731,0,0.0111630068739859,0.026472255290377,0,0.101825440213149,0,0,0.0357189474039401,0.217515550703605,0.572585989088469
"TCGA-S9-A6U2-01A-21R-A33Z-07",0.0382913864924556,0,0.00851193419581174,0.0271665623302206,0,0.178185088346343,0,0,0,0.213588372733959,0.53425665590121
"TCGA-S9-A6UB-01A-21R-A33Z-07",0.0407190712141906,0,0,0.105760278267149,0,0.130036891290753,0,0,0.0270333144355937,0.111674740957191,0.584775703835123
"TCGA-S9-A6WE-01A-12R-A33Z-07",0.0433447741690004,0,0,0.0670774219768079,0,0.140845331010633,0,0,0.0257172844770737,0.143587747472705,0.57942744089378
