"","Myeloid","Glioma","Oligo","Pericytes","TCells","Endo"
"TCGA-S9-A7QY-01A-11R-A34F-07",0.00171957635387932,0.358652178275437,0.562797252790464,0.0112022627072595,1.17345076875034e-06,0.0656275564221917
"TCGA-S9-A7QZ-01A-12R-A34R-07",0.00087684208401353,0.781549426032223,0.116089747699496,0.0176564125562311,6.08318280565686e-08,0.0838275107962086
"TCGA-S9-A7R1-01A-12R-A34R-07",0.0100604477013297,0.695246848010227,0.0791507382522504,0.0519246216738473,0.00217170947391964,0.161445634888426
"TCGA-TM-A84G-01A-11R-A36H-07",2.63882256431917e-09,0.90462327451229,0.0402385221172451,0.0139627074124533,2.59916408612011e-05,0.0411495016783274
"TCGA-TM-A84M-01A-11R-A36H-07",0.000282994646650217,0.864809213921059,0.0924509322657101,0.0118410335943984,8.07502084196718e-07,0.0306150180700985
"TCGA-TM-A84R-01A-21R-A36H-07",0.00286900278839988,0.416786441259377,0.50587218762318,0.0195479068885392,9.16810920302231e-08,0.0549243697594116
"TCGA-TM-A84S-01A-11R-A36H-07",0.037020321605336,0.498981032858419,0.308319224248889,0.0769332609989714,8.64433782685861e-08,0.0787460738450065
"TCGA-TQ-A7RS-01A-12R-A33Z-07",0.00171819779591904,0.565817254705118,0.324813696131349,0.0358585601663305,1.74808441220879e-06,0.0717905431168714
"TCGA-VM-A8CB-01A-11R-A36H-07",0.00816421000655565,0.844431931318636,0.0288752878466866,0.00858431846565782,1.11574390244291e-08,0.109944241205025
"TCGA-VM-A8CE-01A-11R-A36H-07",0.0122953100317028,0.307394339646617,0.538506308308977,0.0580069960952436,5.98107794133219e-08,0.0837969861066798
"TCGA-VV-A829-01A-21R-A36H-07",0.0259545051130458,0.751172269079104,0.0858555641329942,0.0248305788754123,8.64341926028119e-08,0.112186996365252
"TCGA-VW-A7QS-01A-12R-A33Z-07",0.00538480730308184,0.657363338750394,0.173613604221039,0.0567554170434735,2.23921630684317e-08,0.106882810289848
"TCGA-W9-A837-01A-11R-A36H-07",0.00283459479151772,0.626904311230513,0.225198723267826,0.0715083863185413,1.0866059441249e-08,0.0735539735255429
